ID,race_eth_cat,sex,alpha_rho,beta_rho,num_trees,seed,iter,thin,warmup,sigma2_beta,sigma2_beta_update_freq,beta_acc_prob,n_min,alpha_sigma,beta_sigma,moves,move_probs
75,'NHAPI','M',0.95,2,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
76,'NHAPI','M',0.95,2,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
77,'NHAPI','M',0.95,2,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
78,'NHAPI','M',0.95,2,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
79,'NHAPI','M',0.95,2,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
80,'NHAPI','M',0.95,2,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
81,'NHB','F',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
82,'NHB','F',0.3,3,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
83,'NHB','F',0.3,3,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
84,'NHB','F',0.3,3,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
85,'NHB','F',0.3,3,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
86,'NHB','F',0.3,3,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
87,'NHB','F',0.3,3,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
88,'NHB','F',0.3,3,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
89,'NHB','F',0.3,3,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
90,'NHB','F',0.3,3,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
91,'NHB','F',0.95,2,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
92,'NHB','F',0.95,2,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
93,'NHB','F',0.95,2,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
94,'NHB','F',0.95,2,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
95,'NHB','F',0.95,2,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
96,'NHB','F',0.95,2,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
97,'NHB','F',0.95,2,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
98,'NHB','F',0.95,2,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
99,'NHB','F',0.95,2,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
100,'NHB','F',0.95,2,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
101,'NHB','M',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
102,'NHB','M',0.3,3,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
103,'NHB','M',0.3,3,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
104,'NHB','M',0.3,3,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
105,'NHB','M',0.3,3,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
106,'NHB','M',0.3,3,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
107,'NHB','M',0.3,3,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
108,'NHB','M',0.3,3,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
109,'NHB','M',0.3,3,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
110,'NHB','M',0.3,3,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
111,'NHB','M',0.95,2,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
112,'NHB','M',0.95,2,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
113,'NHB','M',0.95,2,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
114,'NHB','M',0.95,2,50,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
115,'NHB','M',0.95,2,50,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
116,'NHB','M',0.95,2,100,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
117,'NHB','M',0.95,2,100,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
118,'NHB','M',0.95,2,100,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
119,'NHB','M',0.95,2,100,4,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
120,'NHB','M',0.95,2,100,5,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
121,'NHW','F',0.3,3,50,1,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
122,'NHW','F',0.3,3,50,2,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
123,'NHW','F',0.3,3,50,3,10000,5,5000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
